ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
OEJB,medium_airport,Jubail Airport,26,AS,SA,SA-04,Jubail,OEJB,QJB,,"49.40510177612305, 27.038999557495117"
YJIN,small_airport,Jindabyne Airport,1036,OC,AU,AU-NSW,,YJIN,QJD,,"148.6020050048828, -36.426700592041016"
BGKT,heliport,Kitsissuarsuit Heliport,18,NA,GL,GL-U-A,Kitsissuarsuit,BGKT,QJE,,"-53.123295307199996, 68.85792599759999"
BGIT,heliport,Ikamiut Heliport,49,NA,GL,GL-U-A,Ikamiut,BGIT,QJI,,"-51.8322622776, 68.6342530984"
RKRO,small_airport,Pocheon G 217 Airport,328,AS,KR,KR-41,Pocheon,RKRO,QJP,,"127.177327, 37.865283"
ENKA,small_airport,Kautokeino Air Base,1165,EU,NO,NO-20,,ENKA,QKX,,"23.034000396728516, 69.04029846191406"
EGHL,medium_airport,Lasham Airport,618,EU,GB,GB-ENG,Lasham,EGHL,QLA,,"-1.0334999561309814, 51.187198638916016"
DAAB,medium_airport,Blida Airport,535,AF,DZ,DZ-09,,DAAB,QLD,,"2.8141698837280273, 36.50360107421875"
EFLA,small_airport,Lahti Vesivehmaa Airport,502,EU,FI,FI-ES,,EFLA,QLF,,"25.693501, 61.144199"
LIQW,medium_airport,Sarzana-Luni Air Base,45,EU,IT,IT-42,Sarzana (SP),LIQW,QLP,SP01,"9.98795, 44.088001"
LPMR,medium_airport,Monte Real Air Base,187,EU,PT,PT-10,,LPMR,QLR,,"-8.8875, 39.828335"
LIRL,medium_airport,Latina Air Base,94,EU,IT,IT-62,Latina,LIRL,QLT,LT02,"12.909, 41.5424"
SSMF,small_airport,Mafra Airport,2690,SA,BR,BR-SC,Mafra,SSMF,QMF,,"-49.83219909667969, -26.158899307250977"
DABO,small_airport,Oum el Bouaghi airport,2980,AF,DZ,DZ-04,Oum El Bouaghi,DAEO,QMH,,"7.270800113679999, 35.879699707"
LSGN,small_airport,Neuchatel Airport,1427,EU,CH,CH-NE,,LSGN,QNC,,"6.86471986771, 46.9575004578"
LYNS,small_airport,Cenej Airport,266,EU,RS,RS-06,Novi Sad,LYNS,QND,,"19.839199, 45.385799"
LFLI,medium_airport,Annemasse Airport,1620,EU,FR,FR-V,Annemasse,LFLI,QNJ,,"6.268390178680001, 46.1920013428"
SDNY,small_airport,Aeroclube Airport,164,SA,BR,BR-RJ,Nova IguaÃ§u,SDNY,QNV,SDNY,"-43.46030044555664, -22.74530029296875"
6N7,seaplane_base,New York Skyports Inc Seaplane Base,,NA,US,US-NY,New York,,QNY,6N7,"-73.9729, 40.734001"
SDKK,small_airport,Mococa Airport,2116,SA,BR,BR-SP,Mococa,SDKK,QOA,,"-47.034400939941406, -21.48780059814453"
SSSB,small_airport,SÃ£o Borja Airport,246,SA,BR,BR-RS,SÃ£o Borja,SSSB,QOJ,SSSB,"-56.03459930419922, -28.65489959716797"
BGSO,heliport,Saarloq Heliport,,NA,GL,GL-U-A,,BGSO,QOQ,,"-46.024722, 60.537778"
DNIM,medium_airport,Sam Mbakwe International Airport,373,AF,NG,NG-IM,Owerri,DNIM,QOW,,"7.206029891967773, 5.427060127258301"
LIPU,medium_airport,Padova Airport,44,EU,IT,IT-34,Padova,LIPU,QPA,PD11,"11.8479, 45.395802"
MUPR,medium_airport,Pinar Del Rio Airport,131,NA,CU,CU-01,Pinar del Rio,MUPR,QPD,,"-83.67839813232422, 22.42140007019043"
WSAP,medium_airport,Paya Lebar Air Base,65,AS,SG,SG-04,,WSAP,QPG,,"103.91000366210938, 1.3604199886322021"
FBPY,small_airport,Palapye Airport,3000,AF,BW,BW-CE,Palapye,FBPY,QPH,,"27.149999618530273, -22.566999435424805"
SBYS,medium_airport,Campo Fontenelle Airport,1968,SA,BR,BR-SP,Pirassununga,SBYS,QPS,,"-47.334800720214844, -21.984600067138672"
BGKA,heliport,Kangaatsiaq Heliport,17,NA,GL,GL-U-A,Kangaatsiaq,BGKA,QPW,,"-53.4602075815, 68.3126574861"
BGQE,heliport,Qeqertaq Heliport,69,NA,GL,GL-U-A,Qeqertaq,BGQE,QQT,,"-51.3009166718, 69.9958611087"
FAGM,medium_airport,Rand Airport,5483,AF,ZA,ZA-GT,Johannesburg,FAGM,QRA,,"28.1511993408, -26.2425003052"
SCRG,medium_airport,De La Independencia Airport,1446,SA,CL,CL-LI,Rancagua,SCRG,QRC,,"-70.77570343017578, -34.17369842529297"
AR-0005,small_airport,Bragado Airport,196,SA,AR,AR-B,Bragado,,QRF,BRA,"-60.4803, -35.144"
YNRM,medium_airport,Narromine Airport,782,OC,AU,AU-NSW,,YNRM,QRM,,"148.22500610351562, -32.214698791503906"
MMQT,medium_airport,QuerÃ©taro Intercontinental Airport,6296,NA,MX,MX-QUE,QuerÃ©taro,MMQT,QRO,QET,"-100.185997, 20.6173"
YWRN,medium_airport,Warren Airport,669,OC,AU,AU-NSW,,YWRN,QRR,,"147.80299377441406, -31.733299255371094"
LIQN,small_airport,Rieti Airport,1278,EU,IT,IT-62,Rieti,LIQN,QRT,RI01,"12.8517, 42.4272"
NG-QRW,medium_airport,Warri Airport,242,AF,NG,NG-DE,Warri,DNSU,QRW,,"5.81778, 5.59611"
BGIK,heliport,Ikerassaarsuk Heliport,165,NA,GL,GL-U-A,Ikerassaarsuk,BGIK,QRY,,"-53.4414589405, 68.14088100629999"
LELL,small_airport,Sabadell Airport,485,EU,ES,ES-CT,Sabadell,LELL,QSA,,"2.1050798892974854, 41.52090072631836"
SDSC,small_airport,MÃ¡rio Pereira LopesâSÃ£o Carlos Airport,2649,SA,BR,BR-SP,SÃ£o Carlos,SDSC,QSC,SDSC,"-47.903703, -21.875401"
DAAS,medium_airport,Ain Arnat Airport,3360,AF,DZ,DZ-19,SÃ©tif,DAAS,QSF,,"5.3244900703399995, 36.178100585900005"
HTMS,small_airport,Moshi Airport,2801,AF,TZ,TZ-09,Moshi,HTMS,QSI,,"37.326900482177734, -3.3633298873901367"
MUNB,medium_airport,San Nicolas De Bari Airport,49,NA,CU,CU-02,San NicolÃ¡s,MUNB,QSN,,"-81.9208984375, 22.756099700927734"
LIRI,medium_airport,Salerno Costa d'Amalfi Airport,119,EU,IT,IT-72,Salerno,LIRI,QSR,SA02,"14.9113, 40.620399"
SYNA,small_airport,New Amsterdam Airport,3,SA,GY,GY-EB,New Amsterdam,SYNA,QSX,,"-57.474172, 6.244324"
ZWSC,medium_airport,Yeerqiang Airport,4232,AS,CN,CN-65,Shache,ZWSC,QSZ,,"77.075192, 38.281055"
LY-QUB,small_airport,Ubari Airport,1387,AF,LY,LY-SH,Ubari,HLUB,QUB,,"12.82310009, 26.5674991608"
EGHR,small_airport,Chichester/Goodwood Airport,98,EU,GB,GB-ENG,Chichester,EGHR,QUG,,"-0.7591670155525208, 50.85940170288086"
RKNC,closed,Camp Page Airport (A-306),245,AS,KR,KR-42,Chun Chon City,RKNC,QUN,,"127.718002, 37.883801"
DNAI,large_airport,Akwa Ibom International Airport,170,AF,NG,NG-AK,Uyo,DNAI,QUO,,"8.093, 4.8725"
EGUY,medium_airport,RAF Wyton,135,EU,GB,GB-ENG,St. Ives,EGUY,QUY,,"-0.107832998037, 52.3572006226"
SSVR,closed,Volta Redonda Airport,1245,SA,BR,BR-RJ,Volta Redonda,SSVR,QVR,,"-44.085, -22.4978"
K8A6,small_airport,Wilgrove Air Park,799,NA,US,US-NC,Charlotte,K8A6,QWG,8A6,"-80.67009735110001, 35.2137985229"
EPOK,medium_airport,Oksywie Military Air Base,144,EU,PL,PL-PM,Gdynia,EPOK,QYD,,"18.51720047, 54.57970047"
RAA,small_airport,Rakanda Airport,38,OC,PG,PG-EBR,Rakanda,,RAA,RAK,"152.4385, -4.2096"
AYTK,medium_airport,Tokua Airport,32,OC,PG,PG-EBR,Tokua,AYTK,RAB,,"152.380004883, -4.34045982361"
KRAC,small_airport,John H Batten Airport,674,NA,US,US-WI,Racine,KRAC,RAC,RAC,"-87.8152008057, 42.7606010437"
OERR,medium_airport,Arar Domestic Airport,1813,AS,SA,SA-08,Arar,OERR,RAE,,"41.13819885253906, 30.906600952148438"
SAFR,small_airport,Rafaela Airport,325,SA,AR,AR-S,Rafaela,SAFR,RAF,RLA,"-61.5017, -31.2825"
NZRA,small_airport,Raglan Airfield,10,OC,NZ,NZ-WKO,,NZRA,RAG,,"174.86000061035156, -37.8046989440918"
OERF,medium_airport,Rafha Domestic Airport,1474,AS,SA,SA-08,Rafha,OERF,RAH,,"43.4906005859375, 29.626399993896484"
GVNP,medium_airport,Praia International Airport,230,AF,CV,CV-S,Praia,GVNP,RAI,,"-23.493499755859375, 14.924500465393066"
VARK,medium_airport,Rajkot Airport,441,AS,IN,IN-GJ,Rajkot,VARK,RAJ,,"70.77950286869999, 22.3092002869"
GMMX,medium_airport,Menara Airport,1545,AF,MA,MA-MAR,Marrakech,GMMX,RAK,,"-8.03629970551, 31.606899261499997"
KRAL,medium_airport,Riverside Municipal Airport,819,NA,US,US-CA,Riverside,KRAL,RAL,RAL,"-117.4449997, 33.95190048"
YRNG,small_airport,Ramingining Airport,206,OC,AU,AU-NT,,YRNG,RAM,,"134.8979949951172, -12.356399536132812"
LIDR,small_airport,Ravenna Airport,1,EU,IT,IT-45,Ravenna,LIDR,RAN,RA06,"12.224978, 44.36391"
SBRP,medium_airport,Leite Lopes Airport,1806,SA,BR,BR-SP,RibeirÃ£o Preto,SBRP,RAO,,"-47.776668548583984, -21.136388778686523"
KRAP,medium_airport,Rapid City Regional Airport,3204,NA,US,US-SD,Rapid City,KRAP,RAP,RAP,"-103.05699920654297, 44.0452995300293"
ID-RAQ,small_airport,Sugimanuru Airport,132,AS,ID,ID-SG,Raha-Muna Island,WAWR,RAQ,,"122.569371, -4.760557"
NCRG,large_airport,Rarotonga International Airport,19,OC,CK,CK-U-A,Avarua,NCRG,RAR,,"-159.805999756, -21.2026996613"
OIGG,medium_airport,Sardar-e-Jangal Airport,-40,AS,IR,IR-19,Rasht,OIGG,RAS,,"49.617778, 37.323333"
USNR,closed,Raduzhny Airport,250,AS,RU,RU-KHM,Raduzhnyi,USNR,RAT,,"77.32890319820001, 62.1585998535"
SKCN,small_airport,Cravo Norte Airport,341,SA,CO,CO-ARA,Cravo Norte,SKCN,RAV,RAV,"-70.2107, 6.31684"
RAW,small_airport,Arawa Airport,20,OC,PG,PG-NSB,Arawa,,RAW,ARA,"155.571388889, -6.220555555560001"
RAX,small_airport,Oram Airport,3500,OC,PG,PG-CPM,,AYYO,RAX,ORAM,"148.048055556, -9.632916666669997"
OPRT,medium_airport,Rawalakot Airport,5479,AS,PK,PK-JK,Rawalakot,OPRT,RAZ,,"73.79810333251953, 33.849700927734375"
GMME,medium_airport,Rabat-SalÃ© Airport,276,AF,MA,MA-RBA,Rabat,GMME,RBA,,"-6.75152, 34.051498"
SWBR,small_airport,Borba Airport,293,SA,BR,BR-AM,Borba,SWBR,RBB,SWBR,"-59.60240173339844, -4.4063401222229"
YROI,small_airport,Robinvale Airport,87,OC,AU,AU-VIC,,YROI,RBC,,"142.7830047607422, -34.650001525878906"
KRBD,small_airport,Dallas Executive Airport,660,NA,US,US-TX,Dallas,KRBD,RBD,RBD,"-96.8682022095, 32.6809005737"
VDRK,medium_airport,Ratanakiri Airport,,AS,KH,KH-16,Ratanakiri,VDRK,RBE,,"106.98699951171875, 13.729999542236328"
KL35,small_airport,Big Bear City Airport,6752,NA,US,US-CA,Big Bear,L35,RBF,L35,"-116.856002808, 34.2638015747"
KRBG,small_airport,Roseburg Regional Airport,529,NA,US,US-OR,Roseburg,KRBG,RBG,RBG,"-123.356002808, 43.238800048799995"
NFFR,small_airport,Rabi Island Airport,88,OC,FJ,FJ-N,Rabi Island,NFFR,RBI,,"179.9757, -16.5337"
RJCR,small_airport,Rebun Airport,92,AS,JP,JP-01,Rebun,RJCR,RBJ,,"141.039001465, 45.4550018311"
KF70,small_airport,French Valley Airport,1350,NA,US,US-CA,Murrieta/Temecula,F70,RBK,F70,"-117.127998352, 33.5741996765"
KRBL,medium_airport,Red Bluff Municipal Airport,352,NA,US,US-CA,Red Bluff,KRBL,RBL,RBL,"-122.251998901, 40.1506996155"
EDMS,small_airport,Straubing Airport,1047,EU,DE,DE-BY,Straubing,EDMS,RBM,,"12.516667366027832, 48.90083312988281"
SLRB,small_airport,RoborÃ© Airport,905,SA,BO,BO-S,RoborÃ©,SLRB,RBO,,"-59.76499938964844, -18.329200744628906"
RBP,small_airport,Raba Raba Airport,170,OC,PG,PG-MBA,Rabaraba,AYRE,RBP,RBA,"149.832222222, -9.97111111111"
BO-0001,small_airport,Rurenabaque Airport,676,SA,BO,BO-B,Rurenabaque,SLRQ,RBQ,,"-67.4968032837, -14.427900314299999"
SBRB,medium_airport,PlÃ¡cido de Castro Airport,633,SA,BR,BR-AC,Rio Branco,SBRB,RBR,,"-67.89805603027344, -9.868888854980469"
YORB,small_airport,Orbost Airport,28,OC,AU,AU-VIC,,YORB,RBS,,"148.61000061035156, -37.790000915527344"
HKMB,small_airport,Marsabit Airport,4395,AF,KE,KE-400,Marsabit,HKMB,RBT,,"37.999996, 2.344254"
YROE,small_airport,Roebourne Airport,,OC,AU,AU-WA,Roebourne,YROE,RBU,,"117.156997681, -20.7616996765"
AGRM,small_airport,Ramata Airport,,OC,SB,SB-WE,Ramata,AGRM,RBV,,"157.64300537109375, -8.168060302734375"
KRBW,small_airport,Lowcountry Regional Airport,101,NA,US,US-SC,Walterboro,KRBW,RBW,RBW,"-80.6406021118, 32.921001434299995"
HSMK,small_airport,Rumbek Airport,1378,AF,SS,SS-18,Rumbek,HSMK,RBX,,"29.6690006256, 6.8249998092699995"
PARY,medium_airport,Ruby Airport,658,NA,US,US-AK,Ruby,PARY,RBY,RBY,"-155.4700012, 64.72720337"
KRCA,medium_airport,Ellsworth Air Force Base,3276,NA,US,US-SD,Rapid City,KRCA,RCA,RCA,"-103.1039963, 44.14500046"
FARB,medium_airport,Richards Bay Airport,109,AF,ZA,ZA-NL,Richards Bay,FARB,RCB,,"32.0920982361, -28.740999221800003"
WA09,small_airport,Roche Harbor Airport,100,NA,US,US-WA,Roche Harbor,WA09,RCE,WA09,"-123.138999939, 48.6123008728"
SKRH,medium_airport,Almirante Padilla Airport,43,SA,CO,CO-LAG,Riohacha,SKRH,RCH,RCH,"-72.926, 11.5262"
KRCK,small_airport,H H Coffield Regional Airport,474,NA,US,US-TX,Rockdale,KRCK,RCK,RCK,"-96.9897003174, 30.6315994263"
NVSR,small_airport,Redcliffe Airport,36,OC,VU,VU-PAM,Redcliffe,NVSR,RCL,,"167.835006714, -15.472000122099999"
YRMD,small_airport,Richmond Airport,676,OC,AU,AU-QLD,,YRMD,RCM,,"143.11500549316406, -20.701900482177734"
RCN,closed,American River Airport,389,OC,AU,AU-SA,American River,,RCN,,"137.7759, -35.7574"
LFDN,medium_airport,Rochefort-Saint-Agnant (BA 721) Airport,60,EU,FR,FR-T,Rochefort/Saint-Agnant,LFDN,RCO,,"-0.9830560088157654, 45.88779830932617"
SATR,medium_airport,Reconquista Airport,160,SA,AR,AR-S,Reconquista,SATR,RCQ,RTA,"-59.68, -29.2103"
KRCR,small_airport,Fulton County Airport,790,NA,US,US-IN,Rochester,KRCR,RCR,RCR,"-86.18170166019999, 41.065601348899996"
EGTO,small_airport,Rochester Airport,436,EU,GB,GB-ENG,Rochester,EGTO,RCS,,"0.5033329725265503, 51.351898193359375"
KRCT,small_airport,Nartron Field,1055,NA,US,US-MI,Reed City,KRCT,RCT,RCT,"-85.5167007446, 43.9000015259"
SAOC,medium_airport,Area De Material Airport,1380,SA,AR,AR-X,Rio Cuarto,SAOC,RCU,TRC,"-64.2612991333, -33.0850982666"
MYRP,small_airport,Rum Cay Airport,15,NA,BS,BS-SR,,MYRP,RCY,,"-74.83619689941406, 23.68440055847168"
AU-RDA,small_airport,Rockhampton Downs Airport,,OC,AU,AU-NT,Rockhampton Downs,,RDA,,"135.2010040283203, -18.95330047607422"
PADG,small_airport,Red Dog Airport,969,NA,US,US-AK,Red Dog,PADG,RDB,DGG,"-162.899002075, 68.03209686279999"
SNDC,small_airport,RedenÃ§Ã£o Airport,670,SA,BR,BR-PA,RedenÃ§Ã£o,SNDC,RDC,SNDC,"-49.97990036010742, -8.033289909362793"
KRDD,medium_airport,Redding Municipal Airport,505,NA,US,US-CA,Redding,KRDD,RDD,RDD,"-122.2929993, 40.50899887"
WASM,small_airport,Merdei Airport,425,AS,ID,ID-PB,Merdei-Papua Island,WASM,RDE,,"133.33299255371094, -1.5833300352096558"
KRDG,medium_airport,Reading Regional Carl A Spaatz Field,344,NA,US,US-PA,Reading,KRDG,RDG,RDG,"-75.96520233154297, 40.378501892089844"
KRDM,medium_airport,Roberts Field,3080,NA,US,US-OR,Redmond,KRDM,RDM,RDM,"-121.1500015, 44.2541008"
WMPR,small_airport,LTS Pulau Redang Airport,36,AS,MY,MY-11,Redang,WMPR,RDN,,"103.00700378417969, 5.765279769897461"
EPRA,medium_airport,Radom Airport,610,EU,PL,PL-MZ,Radom,EPRA,RDO,,"21.213300705, 51.3891983032"
VEDG,medium_airport,Kazi Nazrul Islam Airport,300,AS,IN,IN-WB,Durgapur,VEDG,RDP,,"87.243, 23.6225"
KRDR,medium_airport,Grand Forks Air Force Base,913,NA,US,US-ND,Grand Forks,KRDR,RDR,RDR,"-97.4011993408, 47.961101532"
SAHS,medium_airport,Rincon De Los Sauces Airport,1968,SA,AR,AR-Q,Rincon de los Sauces,SAHS,RDS,RIN,"-68.9041976929, -37.3905982971"
GOSR,small_airport,Richard Toll Airport,20,AF,SN,SN-SL,Richard Toll,GOSR,RDT,,"-15.649999618530273, 16.433000564575195"
KRDU,large_airport,Raleigh Durham International Airport,435,NA,US,US-NC,Raleigh/Durham,KRDU,RDU,RDU,"-78.7874984741211, 35.877601623535156"
RDV,small_airport,Red Devil Airport,174,NA,US,US-AK,Red Devil,RDV,RDV,RDV,"-157.350006104, 61.7881011963"
LFCR,medium_airport,Rodez-Marcillac Airport,1910,EU,FR,FR-N,Rodez/Marcillac,LFCR,RDZ,,"2.4826700687408447, 44.407901763916016"
NTGE,medium_airport,Reao Airport,12,OC,PF,PF-U-A,,NTGE,REA,,"-136.44000244140625, -18.465900421142578"
EDAX,small_airport,Rechlin-LÃ¤rz Airport,220,EU,DE,DE-MV,LÃ¤rz,EDAX,REB,,"12.7522220612, 53.306388855"
SBRF,medium_airport,Guararapes - Gilberto Freyre International Airport,33,SA,BR,BR-PE,Recife,SBRF,REC,,"-34.92359924316406, -8.126489639282227"
KRVL,small_airport,Mifflin County Airport,819,NA,US,US-PA,Reedsville,KRVL,RED,RVL,"-77.6268005371, 40.6773986816"
8XS8,small_airport,Reese Airpark,3338,NA,US,US-TX,Lubbock,8XS8,REE,8XS8,"-102.03700256348, 33.590301513672"
LICR,medium_airport,Reggio Calabria Airport,96,EU,IT,IT-78,Reggio Calabria,LICR,REG,RC01,"15.6516, 38.071201"
REH,closed,Rehoboth Airport,30,NA,US,US-DE,Rehoboth Beach,,REH,,"-75.122, 38.72"
SOOR,small_airport,Regina Airport,82,SA,GF,GF-CY,Regina,SOOR,REI,,"-52.1316986084, 4.31472015381"
SAVT,medium_airport,Almirante Marco Andres Zar Airport,141,SA,AR,AR-U,Rawson,SAVT,REL,TRE,"-65.2703, -43.2105"
UWOO,medium_airport,Orenburg Central Airport,387,EU,RU,RU-ORE,Orenburg,UWOO,REN,,"55.45669937133789, 51.795799255371094"
KREO,small_airport,Rome State Airport,4053,NA,US,US-OR,Rome,KREO,REO,REO,"-117.885002136, 42.5777015686"
VDSR,large_airport,Siem Reap International Airport,60,AS,KH,KH-17,Siem Reap,VDSR,REP,,"103.81300354, 13.410699844400002"
PK-REQ,small_airport,Reko Diq Airport,2784,AS,PK,PK-BA,Chagai,,REQ,,"62.196819, 29.04692"
MGRT,medium_airport,Retalhuleu Airport,656,NA,GT,GT-RE,Retalhuleu,MGRT,RER,,"-91.69730377197266, 14.520999908447266"
SARE,medium_airport,Resistencia International Airport,173,SA,AR,AR-H,Resistencia,SARE,RES,SIS,"-59.0561, -27.45"
ENRS,small_airport,RÃ¸st Airport,7,EU,NO,NO-18,,ENRS,RET,,"12.103300094604, 67.527801513672"
LERS,medium_airport,Reus Air Base,233,EU,ES,ES-CT,Reus,LERS,REU,,"1.1671700477600098, 41.14739990234375"
VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",1000,AS,IN,IN-MP,Rewa,VA1G,REW,VA1G,"81.220299, 24.503401"
MMRX,medium_airport,General Lucio Blanco International Airport,139,NA,MX,MX-TAM,Reynosa,MMRX,REX,REI,"-98.2285, 26.0089"
SLRY,small_airport,Reyes Airport,935,SA,BO,BO-B,Reyes,SLRY,REY,,"-67.353401, -14.3044"
SDRS,small_airport,Resende Airport,1320,SA,BR,BR-RJ,Resende,SDRS,REZ,SDRS,"-44.4803009033, -22.4785003662"
